english,filipino,spanish,french,japanese,korean
Hello,Kamusta,Hola,Bonjour,こんにちは (konnichiwa),안녕하세요 (annyeonghaseyo)
Good morning,Magandang umaga,Buenos días,Bonjour,おはようございます (ohayou gozaimasu),좋은 아침입니다 (joheun achimimnida)
Good evening,Magandang gabi,Buenas noches,Bonsoir,こんばんは (konbanwa),좋은 저녁입니다 (joheun jeonyeogimnida)
How are you?,Kamusta ka?,¿Cómo estás?,Comment ça va?,お元気ですか (ogenki desu ka),잘 지냈어요? (jal jinaess-eoyo)
I am fine,Mabuti ako,Estoy bien,Je vais bien,元気です (genki desu),잘 지내요 (jal jinaeyo)
Thank you,Salamat,Gracias,Merci,ありがとう (arigatou),감사합니다 (gamsahamnida)
You're welcome,Walang anuman,De nada,De rien,どういたしまして (dou itashimashite),천만에요 (cheonmaneyo)
Please,Pakiusap,Por favor,S'il vous plaît,お願いします (onegai shimasu),제발 (jebal)
Excuse me,Paumanhin,Perdón/Disculpe,Pardon,すみません (sumimasen),실례합니다 (sillyehamnida)
Sorry,Pasensya na,Lo siento,Désolé,ごめんなさい (gomen nasai),죄송합니다 (joesonghamnida)
Yes,Oo,Sí,Oui,はい (hai),네 (ne)
No,Hindi,No,Non,いいえ (iie),아니요 (aniyo)
I don't understand,Hindi ko maintindihan,No entiendo,Je ne comprends pas,わかりません (wakarimasen),이해하지 못합니다 (ihae haji mothamnida)
Can you help me?,Maaari mo ba akong tulungan?,¿Puedes ayudarme?,Pouvez-vous m'aider?,手伝ってくれますか (tetsudatte kuremasu ka),도와줄 수 있나요? (dowajul su innayo)
Where is the bathroom?,Saan ang banyo?,¿Dónde está el baño?,Où sont les toilettes?,トイレはどこですか (toire wa doko desu ka),화장실이 어디에 있나요? (hwajangsil-i eodie innayo)
How much is this?,Magkano ito?,¿Cuánto cuesta esto?,Combien ça coûte?,これはいくらですか (kore wa ikura desu ka),이건 얼마예요? (igeon eolmayeyo)
I would like...,Gusto ko...,Me gustaría...,Je voudrais...,...をください (... o kudasai),...원합니다 (...wonhamnida)
Do you speak English?,Nagsasalita ka ba ng Ingles?,¿Hablas inglés?,Parlez-vous anglais?,英語を話せますか (eigo wo hanasemasu ka),영어를 하실 수 있나요? (yeongeoreul hasil su innayo)
My name is...,Ang pangalan ko ay...,Me llamo...,Je m'appelle...,私の名前は... (watashi no namae wa...),제 이름은... (je ireumeun...)
Nice to meet you,Kinagagalak kitang makilala,Mucho gusto,Enchanté,はじめまして (hajimemashite),만나서 반갑습니다 (mannaseo bangapseumnida)
I love you,Mahal kita,Te amo,Je t'aime,愛しています (aishiteimasu),사랑해요 (saranghaeyo)
I need a doctor,Kailangan ko ng doktor,Necesito un médico,J'ai besoin d'un médecin,医者が必要です (isha ga hitsuyou desu),의사가 필요해요 (uisa ga pil-yohaeyo)
Call the police,Tawagin ang pulis,Llama a la policía,Appelez la police,警察を呼んでください (keisatsu o yonde kudasai),경찰을 불러주세요 (gyeongchaleul bulleojuseyo)
I'm lost,Nawawala ako,Estoy perdido,Je suis perdu,道に迷いました (michi ni mayoi mashita),길을 잃었어요 (gil-eul ilh-eoss-eoyo)
Goodbye,Paalam,Adiós,Au revoir,さようなら (sayounara),안녕히 가세요 (annyeonghi gaseyo)
See you later,Hanggang sa muli,Hasta luego,À bientôt,また後で (mata ato de),또 봐요 (tto bwayo)
What's your name?,Ano ang pangalan mo?,¿Cuál es tu nombre?,Comment vous appelez-vous?,お名前は何ですか (onamae wa nan desu ka),이름이 뭐에요? (ireumi mwoeyo)
I am learning the language,Nag-aaral ako ng wika,Estoy aprendiendo el idioma,J'apprends la langue,私は言語を学んでいます (watashi wa gengo o manande imasu),저는 언어를 배우고 있어요 (jeoneun eoneoreul baeugo isseoyo)
Slow down,Maghinay ka,Despacito,Ralentissez,もっとゆっくり (motto yukkuri),천천히 말해 주세요 (cheoncheonhi malhae juseyo)
Repeat that,Ulitin mo yun,Repite eso,Répétez cela,もう一度言ってください (mou ichido itte kudasai),다시 말해 주세요 (dasi malhae juseyo)
I am hungry,Gutom ako,Tengo hambre,J'ai faim,おなかがすきました (onaka ga sukimashita),배고파요 (baegopayo)
I am thirsty, uhaw ako,Tengo sed,J'ai soif,のどがかわきました (nodo ga kawakimashita),목말라요 (mongmallayo)
Bon appetit! (Enjoy your meal),Kain nang masarap,¡Buen provecho!,Bon appétit,いただきます (itadakimasu),맛있게 드세요 (mas-issge deu-se-yo)